"","HUC12","Name","DA_km2","TotDA_km2","Percent_PA","Amblema_elliottii_rep001","Amblema_elliottii_rep002","Amblema_elliottii_rep003","Campeloma_regulare_rep001","Campeloma_regulare_rep002","Campeloma_regulare_rep003","Cyprinella_caerulea_rep001","Cyprinella_caerulea_rep002","Cyprinella_caerulea_rep003","Elliptio_arca_rep001","Elliptio_arca_rep002","Elliptio_arca_rep003","Elliptio_arctata_rep001","Elliptio_arctata_rep002","Elliptio_arctata_rep003","Etheostoma_brevirostrum_rep001","Etheostoma_brevirostrum_rep002","Etheostoma_brevirostrum_rep003","Etheostoma_ditrema_rep001","Etheostoma_ditrema_rep002","Etheostoma_ditrema_rep003","Etheostoma_etowahae_rep001","Etheostoma_etowahae_rep002","Etheostoma_etowahae_rep003","Etheostoma_rupestre_rep001","Etheostoma_rupestre_rep002","Etheostoma_rupestre_rep003","Etheostoma_scotti_rep001","Etheostoma_scotti_rep002","Etheostoma_scotti_rep003","Etheostoma_trisella_rep001","Etheostoma_trisella_rep002","Etheostoma_trisella_rep003","Hamiota_altilis_rep001","Hamiota_altilis_rep002","Hamiota_altilis_rep003","Hybopsis_lineapunctata_rep001","Hybopsis_lineapunctata_rep002","Hybopsis_lineapunctata_rep003","Lampetra_aepyptera_rep001","Lampetra_aepyptera_rep002","Lampetra_aepyptera_rep003","Lythrurus_lirus_rep001","Lythrurus_lirus_rep002","Lythrurus_lirus_rep003","Macrhybopsis_etnieri_rep001","Macrhybopsis_etnieri_rep002","Macrhybopsis_etnieri_rep003","Macrhybopsis_storeriana_rep001","Macrhybopsis_storeriana_rep002","Macrhybopsis_storeriana_rep003","Moxostoma_carinatum_rep001","Moxostoma_carinatum_rep002","Moxostoma_carinatum_rep003","Notropis_asperifrons_rep001","Notropis_asperifrons_rep002","Notropis_asperifrons_rep003","Noturus_munitus_rep001","Noturus_munitus_rep002","Noturus_munitus_rep003","Percina_antesella_rep001","Percina_antesella_rep002","Percina_antesella_rep003","Pleurobema_georgianum_rep001","Pleurobema_georgianum_rep002","Pleurobema_georgianum_rep003","Cambarus_conasaugaensis_rep001","Cambarus_conasaugaensis_rep002","Cambarus_conasaugaensis_rep003","Cambarus_coosawattae_rep001","Cambarus_coosawattae_rep002","Cambarus_coosawattae_rep003","Cambarus_fasciatus_rep001","Cambarus_fasciatus_rep002","Cambarus_fasciatus_rep003","Cambarus_speciosus_rep001","Cambarus_speciosus_rep002","Cambarus_speciosus_rep003","Lampsilis_straminea_rep001","Lampsilis_straminea_rep002","Lampsilis_straminea_rep003","Quadrula_rumphiana_rep001","Quadrula_rumphiana_rep002","Quadrula_rumphiana_rep003","Pleurobema_decisum_rep001","Pleurobema_decisum_rep002","Pleurobema_decisum_rep003","Villosa_vanuxemensis_rep001","Villosa_vanuxemensis_rep002","Villosa_vanuxemensis_rep003","Elimia_caelatura_rep001","Elimia_caelatura_rep002","Elimia_caelatura_rep003","Acipenser_fulvescens_rep001","Acipenser_fulvescens_rep002","Acipenser_fulvescens_rep003","Cambarus_cymatilis_rep001","Cambarus_cymatilis_rep002","Cambarus_cymatilis_rep003","Cambarus_manningi_rep001","Cambarus_manningi_rep002","Cambarus_manningi_rep003","Cambarus_stockeri_rep001","Cambarus_stockeri_rep002","Cambarus_stockeri_rep003","Percina_aurolineata_rep001","Percina_aurolineata_rep002","Percina_aurolineata_rep003","Cyclonaias_asperata_rep001","Cyclonaias_asperata_rep002","Cyclonaias_asperata_rep003","Cyclonaias_kieneriana_rep001","Cyclonaias_kieneriana_rep002","Cyclonaias_kieneriana_rep003","Elimia_ornata_rep001","Elimia_ornata_rep002","Elimia_ornata_rep003","Epioblasma_metastriata_rep001","Epioblasma_metastriata_rep002","Epioblasma_metastriata_rep003","Epioblasma_othcaloogensis_rep001","Epioblasma_othcaloogensis_rep002","Epioblasma_othcaloogensis_rep003","Epioblasma_penita_rep001","Epioblasma_penita_rep002","Epioblasma_penita_rep003","Hiodon_tergisus_rep001","Hiodon_tergisus_rep002","Hiodon_tergisus_rep003","Lasmigona_etowaensis_rep001","Lasmigona_etowaensis_rep002","Lasmigona_etowaensis_rep003","Leptoxis_foremani_rep001","Leptoxis_foremani_rep002","Leptoxis_foremani_rep003","Lioplax_cyclostomaformis_rep001","Lioplax_cyclostomaformis_rep002","Lioplax_cyclostomaformis_rep003","Medionidus_acutissimus_rep001","Medionidus_acutissimus_rep002","Medionidus_acutissimus_rep003","Medionidus_parvulus_rep001","Medionidus_parvulus_rep002","Medionidus_parvulus_rep003","Percina_kusha_rep001","Percina_kusha_rep002","Percina_kusha_rep003","Percina_lenticula_rep001","Percina_lenticula_rep002","Percina_lenticula_rep003","Percina_jenkinsi_rep001","Percina_jenkinsi_rep002","Percina_jenkinsi_rep003","Villosa_nebulosa_rep001","Villosa_nebulosa_rep002","Villosa_nebulosa_rep003","Percina_shumardi_rep001","Percina_shumardi_rep002","Percina_shumardi_rep003","Pleurobema_hanleyianum_rep001","Pleurobema_hanleyianum_rep002","Pleurobema_hanleyianum_rep003","Pleurobema_hartmanianum_rep001","Pleurobema_hartmanianum_rep002","Pleurobema_hartmanianum_rep003","Pleurocera_pyrenella_rep001","Pleurocera_pyrenella_rep002","Pleurocera_pyrenella_rep003","Pleurocera_showalteri_rep001","Pleurocera_showalteri_rep002","Pleurocera_showalteri_rep003","Pleurocera_vestita_rep001","Pleurocera_vestita_rep002","Pleurocera_vestita_rep003","Potamilus_purpuratus_rep001","Potamilus_purpuratus_rep002","Potamilus_purpuratus_rep003","Pseudodontoideus_connasaugaensis_rep001","Pseudodontoideus_connasaugaensis_rep002","Pseudodontoideus_connasaugaensis_rep003","Ptychobranchus_foremanianus_rep001","Ptychobranchus_foremanianus_rep002","Ptychobranchus_foremanianus_rep003","Villosa_umbrans_rep001","Villosa_umbrans_rep002","Villosa_umbrans_rep003","Etheostoma_brevirostrum_Etowah_rep001","Etheostoma_brevirostrum_Etowah_rep002","Etheostoma_brevirostrum_Etowah_rep003","Percina_kusha_Etowah_rep001","Percina_kusha_Etowah_rep002","Percina_kusha_Etowah_rep003","Percina_antesella_Etowah_rep001","Percina_antesella_Etowah_rep002","Percina_antesella_Etowah_rep003","Noturus_munitus_Etowah_rep001","Noturus_munitus_Etowah_rep002","Noturus_munitus_Etowah_rep003","Percina_lenticula_Etowah_rep001","Percina_lenticula_Etowah_rep002","Percina_lenticula_Etowah_rep003"
"1","031501010101","Headwaters Conasuaga River",95.53017716,95.2992,0.954992956932,0,2.5e-08,1,0,0.0025,0.92,1,1,1,0,0.00098,0.84,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,2.1e-11,1,1,1,1,0,5.1e-12,1.3e-06,1,1,1,1,1,1,0,1e-31,6.5e-24,0,2.3e-12,2.1e-05,0,1.1e-33,7.7e-20,1,1,1,0,9.8e-21,2.5e-14,0,2.6e-15,4.8e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.8e-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","031501010102","Jacks River",127.4153871,104.6259,0.972058048135,0,4e-08,1,0,0.012,0.96,1,1,1,0,0.0013,0.91,0,0,0,1,1,1,0,3.5e-06,0.14,0,0,0,1,1,1,0,0,0,0,5e-24,1,0,0,0,0,4.4e-09,0.078,1,1,1,0,1.8e-09,0.0024,0,8.8e-18,8.1e-08,0,1.7e-11,0.0025,0,1.6e-14,5.4e-10,1,1,1,0,4.8e-08,1.8e-05,0,7.2e-26,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.1e-17,1,0,0,0,0,0.1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","031501010103","Ball Play Creek-Conasauga River",77.3152603,299.5767,0.490584590436,0,1.7e-14,1,1,1,1,1,1,1,0,0.00093,0.73,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1.5e-20,1.5e-19,1,1,1,1,1,1,1,1,1,0,7.1e-18,2.8e-19,1,1,1,1,1,1,0,2.6e-14,1.1e-33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","031501010104","Old Fort Creek-Mill Creek",63.82302906,63.6669,0,0,5.1e-07,1,0,0.0078,0.94,0,0.0018,1,0,3e-05,0.41,0,0,0,0,1.1e-07,0.15,0,0.011,0.89,0,0,0,0,0.00052,0.089,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0.0052,0.98,0,0.0043,0.72,0,0.00077,0.42,0,5.6e-08,0.003,0,0.0017,0.98,0,0.0026,0.042,0,1.8e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0.72,0,1.1e-12,1,0,0,0,0,0.0086,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","031501010105","Perry Creek-Conasuaga River",54.1267525,417.2292,0.0637349260881,0,0.00017,1,1,1,1,1,1,1,0,0.001,0.89,0,0,0,0,7.8e-17,1.7e-11,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,2e-12,2e-08,1,1,1,0,0.00041,1.2e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","031501010106","Sugar Creek",52.97744426,52.8633,0.0178804660661,0,1.1e-07,1,0,0.018,0.98,0,0.01,1,0,0.00014,0.55,0,0,0,0,2.7e-07,0.15,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,9.5e-06,0.88,0,7.6e-05,0.72,1,1,1,0,0.00023,1,0,0.00054,0.74,0,3.2e-06,0.056,0,0.00037,0.95,0,0.0033,0.79,0,0.00018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2e-05,0.87,0,9e-18,1,0,0,0,0,0.025,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","031501010201","Upper Sumac Creek",33.15592398,33.0858,0.887358871009,0,6.3e-12,1,0,0.0084,0.95,0,1.8e-07,1,0,0.002,0.95,0,0,0,0,0.0017,0.25,0,9.4e-06,0.4,0,0,0,0,2e-07,0.11,0,0,0,0,0.00057,1,0,0,0,0,1.6e-05,0.97,0,0.00097,0.86,0,1.8e-06,0.63,0,1.7e-06,0.94,0,3.4e-05,0.54,0,9.7e-08,0.014,1,1,1,0,0.00032,0.74,0,2.9e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0.95,0,1.3e-17,1,0,0,0,0,0.15,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","031501010202","North Prong Sumac Creek",28.01641178,28.1385,0.56425318058,0,4.5e-12,1,0,0.0021,0.88,1,1,1,0,0.0015,0.93,0,0,0,0,0.00028,0.12,1,1,1,0,0,0,0,2.5e-06,0.14,0,0,0,0,0.0035,1,0,0,0,1,1,1,1,1,1,0,4e-05,0.9,0,9.8e-05,0.99,0,9.7e-05,0.62,0,1.7e-06,0.05,1,1,1,0,0.00056,0.73,0,3.2e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0.93,0,1.8e-17,1,0,0,0,0,0.066,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","031501010203","Lower Sumac Creek",37.57104824,99.945,0.0217901393089,0,1.2e-06,1,0,0.0081,0.95,0,0.001,1,0,0.00033,0.8,0,0,0,0,3.8e-10,0.00036,0,0.014,0.8,0,0,0,0,4.5e-06,2e-06,0,0,0,0,0.0087,1,0,0,0,0,3.6e-06,0.62,0,0.0016,0.49,1,1,1,0,4.1e-09,0.0017,0,0.00012,0.13,1,1,1,0,2.2e-05,0.22,0,0.00015,0.036,0,1.5e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.82,0,4.1e-10,1,0,0,0,0,0.1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","031501010204","Hampton Island-Conasauga River",41.50459616,610.1316,0.195263287936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.6e-80,1.1e-15,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0.44,2.5e-28,0,0.00039,7.3e-16,0,3.6e-12,3.3e-28,1,1,1,0,0.07,4.1e-33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","031501010205","Spring Creek",35.54357138,36.0576,0,0,2.8e-10,1,0,0.0012,0.94,0,0.00042,1,0,0.00041,0.83,0,0,0,0,9e-10,0.088,1,1,1,0,0,0,0,1e-07,0.044,0,0,0,1,1,1,0,0,0,0,3.4e-06,0.87,1,1,1,0,0.00035,0.99,0,8.4e-07,0.94,0,0.00012,0.67,0,1.1e-07,0.022,1,1,1,0,0.0046,0.9,0,0.00014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,1,0,1.8e-17,1,0,0,0,0,0.0021,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","031501010206","Upper Mill Creek",28.49394126,22.1346,0.99658831222,0,2.9e-13,1,0,0.006,0.94,0,8.7e-17,1,0,0.002,0.95,0,0,0,0,0.0015,0.00074,0,8e-06,0.1,0,0,0,0,1.8e-11,0.0087,0,0,0,0,9.5e-209,1,0,0,0,0,1.1e-05,0.94,0,5.1e-05,0.5,0,2e-07,0.23,0,1.1e-06,0.83,0,7e-07,0.18,0,4.7e-06,0.0047,0,1.3e-05,0.58,0,8e-05,0.52,0,2.2e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0.9,0,2.2e-18,1,0,0,0,0,0.14,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","031501010207","Middle Mill Creek",30.26241908,58.635,0.0912054316408,0,1.4e-08,1,0,0.0069,0.93,0,7.5e-05,1,0,0.002,0.95,0,0,0,0,0.00024,0.38,0,0.0024,0.96,0,0,0,0,0.00029,0.48,0,0,0,0,0.014,1,0,0,0,0,2.5e-05,0.97,0,0.00014,0.8,0,0.00013,0.96,0,1.3e-05,0.96,0,0.00019,0.71,0,8.5e-06,0.07,0,0.00018,0.87,0,0.0051,0.86,0,1.4e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.99,0,2.6e-17,1,0,0,0,0,0.12,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","031501010208","Pinhook Creek",17.50671636,17.4951,0.00383763991828,0,3.1e-12,1,0,0.00049,0.45,0,0.00033,1,0,3.4e-05,0.31,0,0,0,0,1.7e-06,0.082,0,0.0018,0.99,0,0,0,0,0.00043,1,0,0,0,0,0.065,1,0,0,0,0,4.8e-06,0.83,0,0.00037,0.91,1,1,1,0,0.00047,1,0,0.002,0.96,0,0.00041,0.53,0,0.00046,0.94,0,0.0042,0.97,0,0.00046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2e-05,0.85,0,2.2e-16,1,0,0,0,0,0.0017,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","031501010209","Lower Mill Creek",30.50927754,106.5168,8.7675337114e-05,0,5.1e-06,1,0,0.0024,0.89,0,0.0024,1,0,0.00031,0.32,0,0,0,0,0.00024,0.83,0,0.0095,0.99,0,0,0,0,0.00054,0.9,0,0,0,0,0.036,1,0,0,0,0,3.5e-05,0.98,0,0.00014,0.8,0,0.00036,0.99,0,0.00048,1,0,0.0013,0.92,0,8.5e-05,0.32,0,0.0026,0.97,0,0.007,0.8,0,0.00024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0.91,0,9.9e-09,1,0,0,0,0,0.0099,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","031501010210","Town Branch",28.41705092,28.3599,0.016403203203,0,6.4e-09,1,0,0.0018,0.79,0,0.0018,1,0,0.00034,0.67,0,0,0,0,5e-07,0.027,0,0.0025,0.99,0,0,0,0,6.8e-05,0.58,0,0,0,0,0.018,1,0,0,0,0,0.00014,0.95,0,0.00016,0.74,0,0.0014,1,0,0.00028,1,0,0.0012,0.91,0,6.4e-05,0.27,0,4.1e-06,0.15,0,0.00038,0.8,0,0.00057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1e-06,0.34,0,5.3e-17,1,0,0,0,0,0.0016,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","031501010211","Moody Branch-Conasauga River",60.85263382,841.203,0.0139435352287,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,8e-40,7.7e-07,0,0.0017,5.8e-14,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1.5e-22,5.8e-18,1,1,1,0,0.0012,1.3e-16,1,1,1,1,1,1,1,1,1,0,9.7e-12,3.1e-12,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","031501010301","Coahulla Creek Headwaters",117.6624545,105.9255,0.00233378569938,0,4.3e-05,1,1,1,1,0,0.051,1,0,2e-04,0.56,0,0,0,0,5.3e-05,0.32,0,0.01,0.99,0,0,0,0,0.0012,0.9,0,0,0,1,1,1,0,0,0,0,2.2e-05,0.96,0,0.00062,0.9,0,0.0017,1,0,0.017,1,0,0.0014,0.9,0,4.1e-05,0.19,0,0.00074,0.97,0,0.012,0.91,0,0.00086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.99,0,1.2e-08,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","031501010302","Mills Creek",34.94058924,34.3647,0.0307062419653,0,6.3e-10,1,0,0.0029,0.89,0,0.0051,1,0,0.00012,0.65,0,0,0,0,6.3e-08,0.14,1,1,1,0,0,0,0,1.5e-05,0.052,0,0,0,0,0.011,1,0,0,0,0,3.5e-06,0.71,1,1,1,1,1,1,0,0.0071,1,0,0.00097,0.62,0,2.9e-06,0.055,0,0.0016,0.95,0,0.036,0.62,0,1.2e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.94,0,6.3e-18,1,0,0,0,0,0.005,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","031501010303","Coahulla Creek",67.27095378,197.6355,0.000663380470681,0,0.002,1,0,0.029,0.99,0,4.9e-05,1,0,0.00037,0.84,0,0,0,0,3.2e-06,0.13,1,1,1,0,0,0,0,0.00011,1e-05,0,0,0,1,1,1,0,0,0,0,4.7e-06,0.65,0,5.3e-05,0.28,0,0.00042,0.87,0,0.0043,0.8,0,0.00066,0.23,0,6.8e-07,0.0022,1,1,1,0,9.7e-05,0.026,0,2e-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.88,0,4.5e-05,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
